RowNumber,ProductNumber,CoverDate,Title,Url,Version,PublicationDate
34,"IN12270","10/30/2023","Current Status of an IRS Free Direct Electronic Filing Option","https://crsreports.congress.gov/product/pdf/download/IN/IN12270/IN12270.pdf/","1","10/30/2023"
35,"R47826","10/30/2023","FDA Regulation of Cosmetics and Personal Care Products Under the Modernization of Cosmetics Regulation Act of 2022 (MoCRA)","https://crsreports.congress.gov/product/pdf/download/R/R47826/R47826.pdf/","3","10/30/2023"
36,"IF11887","10/30/2023","Federal Tax Gap: Size, Contributing Factors, and the Debate over Reducing It","https://crsreports.congress.gov/product/pdf/download/IF/IF11887/IF11887.pdf/","5","08/02/2021"
37,"IN12274","10/30/2023","FY2024 Emergency Supplemental Funding Request: Defense Appropriations","https://crsreports.congress.gov/product/pdf/download/IN/IN12274/IN12274.pdf/","2","10/30/2023"
38,"IN12273","10/30/2023","FY2024 NDAA: U.S. Military Posture in the Indo-Pacific","https://crsreports.congress.gov/product/pdf/download/IN/IN12273/IN12273.pdf/","1","10/30/2023"
39,"R40962","10/30/2023","Members' Representational Allowance: History and Usage","https://crsreports.congress.gov/product/pdf/download/R/R40962/R40962.pdf/","30","12/02/2009"
40,"R44258","10/30/2023","Native American Heritage Month: Fact Sheet","https://crsreports.congress.gov/product/pdf/download/R/R44258/R44258.pdf/","21","10/30/2015"
41,"IF12522","10/30/2023","The Secure the Border Act (H.R. 2): Asylum-Related Reforms","https://crsreports.congress.gov/product/pdf/download/IF/IF12522/IF12522.pdf/","1","10/30/2023"
42,"IF10590","10/27/2023","Child Welfare: Purposes, Federal Programs, and Funding","https://crsreports.congress.gov/product/pdf/download/IF/IF10590/IF10590.pdf/","39","02/07/2017"
43,"R47275","10/27/2023","Department of State, Foreign Operations, and Related Programs (SFOPS) Supplemental Funding for Ukraine: In Brief","https://crsreports.congress.gov/product/pdf/download/R/R47275/R47275.pdf/","11","10/07/2022"
44,"IF12387","10/27/2023","EPA's Greenhouse Gas Reduction Fund (GGRF)","https://crsreports.congress.gov/product/pdf/download/IF/IF12387/IF12387.pdf/","3","04/25/2023"
45,"IN12271","10/27/2023","HUD Pathways to Removing Obstacles to Housing (PRO Housing) Competition ","https://crsreports.congress.gov/product/pdf/download/IN/IN12271/IN12271.pdf/","2","10/30/2023"
46,"R46225","10/27/2023","Indigenous Peoples in Latin America: Statistical Information","https://crsreports.congress.gov/product/pdf/download/R/R46225/R46225.pdf/","9","02/13/2020"
47,"LSB11063","10/27/2023","School Swatting: Overview of Federal Criminal Law","https://crsreports.congress.gov/product/pdf/download/LSB/LSB11063/LSB11063.pdf/","2","10/27/2023"
48,"IN12269","10/27/2023","Siting Challenges for Carbon Dioxide (CO2) Pipelines","https://crsreports.congress.gov/product/pdf/download/IN/IN12269/IN12269.pdf/","3","10/27/2023"
49,"R47820","10/27/2023","U.S. Postal Service Fleet Modernization","https://crsreports.congress.gov/product/pdf/download/R/R47820/R47820.pdf/","4","10/24/2023"
50,"LSB11061","10/26/2023","Chevron at the Bar: Supreme Court to Hear Challenges to Chevron Deference","https://crsreports.congress.gov/product/pdf/download/LSB/LSB11061/LSB11061.pdf/","1","10/26/2023"
51,"LSB11062","10/26/2023","Coinbase, Inc. v. Bielski: Federal Trial Courts Must Halt Proceedings During Arbitration Appeals","https://crsreports.congress.gov/product/pdf/download/LSB/LSB11062/LSB11062.pdf/","1","10/26/2023"
52,"IF12198","10/26/2023","India: Human Rights Assessments","https://crsreports.congress.gov/product/pdf/download/IF/IF12198/IF12198.pdf/","14","08/23/2022"
